,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,YearRemodAddIsMissing,HouseAge,RemodelAge,RatioBsmt,HasSecondFloor,AvgRoomSize,HasGarage,GarageAge,HasWoodDeck,TotalPorchSF,HasPorch,HasMiscFeature
0,60,RL,65.0,8450,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,856.0,GasA,Ex,Y,SBrkr,1710,1.0,0.0,2,1,3,1,Gd,Typ,0,TA,Attchd,RFn,2.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,2,2008,WD,Normal,0,5,5.0,0.8247663551401869,1,213.75,1,5.0,0,61,1,0
1,20,RL,80.0,9600,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,1262.0,GasA,Ex,Y,SBrkr,1262,0.0,1.0,2,0,3,1,TA,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,298,0,Gd,MnPrv,Shed,5,2007,WD,Normal,0,31,31.0,0.7749603803486529,0,210.33333333333334,1,31.0,1,0,0,0
2,60,RL,68.0,11250,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,920.0,GasA,Ex,Y,SBrkr,1786,1.0,0.0,2,1,3,1,Gd,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,9,2008,WD,Normal,0,7,6.0,0.5282608695652173,1,297.6666666666667,1,7.0,0,42,1,0
3,70,RL,60.0,9550,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,BrkFace,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,756.0,GasA,Gd,Y,SBrkr,1717,1.0,0.0,1,0,3,1,Gd,Typ,1,Gd,Detchd,Unf,3.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,2,2006,WD,Abnorml,0,91,36.0,0.2857142857142857,1,245.28571428571428,1,8.0,0,307,1,0
4,60,RL,84.0,14260,Pave,Grvl,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1145.0,GasA,Ex,Y,SBrkr,2198,1.0,0.0,2,1,4,1,Gd,Typ,1,TA,Attchd,RFn,3.0,TA,TA,Y,192,0,Ex,GdPrv,Shed,12,2008,WD,Normal,0,8,8.0,0.5720524017467249,1,244.22222222222223,1,8.0,1,84,1,0
5,50,RL,85.0,14115,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,Wood,Gd,TA,No,GLQ,Unf,796.0,GasA,Ex,Y,SBrkr,1362,1.0,0.0,1,1,1,1,TA,Typ,0,TA,Attchd,Unf,2.0,TA,TA,Y,40,0,Gd,MnPrv,Shed,10,2009,WD,Normal,0,16,14.0,0.9195979899497487,1,272.4,1,16.0,1,350,1,1
6,20,RL,75.0,10084,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,1686.0,GasA,Ex,Y,SBrkr,1694,1.0,0.0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,255,0,Ex,GdPrv,Shed,8,2007,WD,Normal,0,3,2.0,0.8119810201660735,0,242.0,1,3.0,1,57,1,0
7,60,RL,80.0,10382,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,1107.0,GasA,Ex,Y,SBrkr,2090,1.0,0.0,2,1,3,1,TA,Typ,2,TA,Attchd,RFn,2.0,TA,TA,Y,235,0,Fa,MnPrv,Shed,11,2009,WD,Normal,0,36,36.0,0.8048780487804879,1,298.57142857142856,1,36.0,1,432,1,1
8,50,RM,51.0,6120,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,952.0,GasA,Gd,Y,FuseF,1774,0.0,0.0,2,0,2,2,TA,Min1,2,TA,Detchd,Unf,2.0,Fa,TA,Y,90,0,Ex,MnPrv,Shed,4,2008,WD,Abnorml,1,77,77.0,0.0,1,221.75,1,77.0,1,205,1,0
9,190,RL,50.0,7420,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,991.0,GasA,Ex,Y,SBrkr,1077,1.0,0.0,1,0,2,2,TA,Typ,2,TA,Attchd,RFn,1.0,Gd,TA,Y,0,0,Ex,MnPrv,Shed,1,2008,WD,Normal,1,69,69.0,0.858728557013118,0,215.4,1,69.0,0,4,1,0
10,20,RL,70.0,11200,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1040.0,GasA,Ex,Y,SBrkr,1040,1.0,0.0,1,0,3,1,TA,Typ,0,TA,Detchd,Unf,1.0,TA,TA,Y,0,0,Ex,MnPrv,Shed,2,2008,WD,Normal,0,43,43.0,0.8711538461538462,0,208.0,1,43.0,0,0,0,0
11,60,RL,85.0,11924,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1175.0,GasA,Ex,Y,SBrkr,2324,1.0,0.0,3,0,4,1,Ex,Typ,2,Gd,BuiltIn,Fin,3.0,TA,TA,Y,147,0,Ex,MnPrv,Shed,7,2006,New,Partial,0,1,0.0,0.8493617021276596,1,211.27272727272728,1,1.0,1,21,1,0
12,20,RL,72.0,12968,Pave,Grvl,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,912.0,GasA,TA,Y,SBrkr,912,1.0,0.0,1,0,2,1,TA,Typ,0,TA,Detchd,Unf,1.0,TA,TA,Y,140,0,Ex,MnPrv,Shed,9,2008,WD,Normal,0,46,46.0,0.8081140350877193,0,228.0,1,46.0,1,176,1,0
